Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level
THE CENTRAL,EU TONG SEN STREET,Office,"1,499,000",645.84,"2,321",Feb-24,Strata,60,"24,983",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"1,500,000",322.92,"4,645",Feb-24,Strata,30,"50,000",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,818,188",979.52,"1,856",Feb-24,Strata,91,"19,980",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",26 to 30
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,188,000",559.73,"2,122",Feb-24,Strata,52,"22,846",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"1,425,000",452.09,"3,152",Jan-24,Strata,42,"33,929",99 yrs lease commencing from 1970,1," Raffles Place, Cecil, Marina, People's Park",B1 to B5
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"968,000",581.26,"1,665",Jan-24,Strata,54,"17,926",99 yrs lease commencing from 1996,7," Middle Road, Golden Mile",06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"880,000",333.68,"2,637",Jan-24,Strata,31,"28,387",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",01 to 05
SBF CENTER,ROBINSON ROAD,Office,"2,080,000",667.37,"3,117",Jan-24,Strata,62,"33,548",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",21 to 25
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"650,000",527.44,"1,232",Jan-24,Strata,49,"13,265",99 yrs lease commencing from 1969,3," Queenstown, Tiong Bahru",11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,700,400",871.88,"1,950",Jan-24,Strata,81,"20,993",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",06 to 10
SBF CENTER,ROBINSON ROAD,Office,"2,339,100",678.13,"3,449",Jan-24,Strata,63,"37,129",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",21 to 25
SOHO LIFE,JOO CHIAT ROAD,Office,"660,000",355.21,"1,858",Jan-24,Strata,33,"20,000",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
