Project Name,Street Name,Property Type,Transacted Price ($),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Postal District,District Name,Tenure Type,Lease Years,Floor Min,Floor Max,Floor Category,Transaction Year,Transaction Month
,CLUB STREET,Shop House,17000000,2022-06-01,Land,187.9,90474,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2022,6
,CLUB STREET,Shop House,8877000,2022-06-01,Land,142.5,62295,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2022,6
,DUNLOP STREET,Shop House,11500000,2022-06-01,Land,234.8,48978,8, Little India,Leasehold,999.0,,,Unknown,2022,6
,UPPER WELD ROAD,Shop House,5000000,2022-06-01,Land,94.8,52743,8, Little India,Freehold,,,,Unknown,2022,6
,BALI LANE,Shop House,5900000,2022-06-01,Land,90.3,65338,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2022,6
,SYED ALWI ROAD,Shop House,7100000,2022-06-01,Land,183.5,38692,8, Little India,Freehold,,,,Unknown,2022,6
,NORRIS ROAD,Shop House,4200000,2022-06-01,Land,91.8,45752,8, Little India,Leasehold,999.0,,,Unknown,2022,6
,BALESTIER ROAD,Shop House,1000000,2022-06-01,Land,142.7,7008,12," Balestier, Toa Payoh, Serangoon",Leasehold,99.0,,,Unknown,2022,6
,DESKER ROAD,Shop House,5200000,2022-06-01,Land,113.7,45734,8, Little India,Freehold,,,,Unknown,2022,6
,NEIL ROAD,Shop House,10500000,2022-05-01,Land,124.1,84609,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2022,5
,CLUB STREET,Shop House,13000000,2022-05-01,Land,91.7,141767,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2022,5
,ARAB STREET,Shop House,4500000,2022-05-01,Land,116.2,38726,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2022,5
,GEYLANG ROAD,Shop House,17000000,2022-05-01,Land,360.7,47131,14," Geylang, Eunos",Freehold,,,,Unknown,2022,5
,GEYLANG ROAD,Shop House,9000000,2022-05-01,Land,156.2,57618,14," Geylang, Eunos",Freehold,,,,Unknown,2022,5
,ROBERTS LANE,Shop House,3620000,2022-05-01,Land,104.4,34674,8, Little India,Freehold,,,,Unknown,2022,5
,UPPER DICKSON ROAD,Shop House,5550000,2022-05-01,Land,128.7,43124,8, Little India,Leasehold,999.0,,,Unknown,2022,5
MAYFAIR PARK,JALAN BINGKA,Shop House,900000,2022-05-01,Strata,98.0,9184,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Leasehold,98.0,,,Unknown,2022,5
,SERANGOON ROAD,Shop House,9300000,2022-05-01,Land,99.9,93093,8, Little India,Leasehold,999.0,,,Unknown,2022,5
,JALAN BESAR,Shop House,28000000,2022-05-01,Land,303.5,92257,8, Little India,Freehold,,,,Unknown,2022,5
,SYED ALWI ROAD,Shop House,4600000,2022-05-01,Land,81.3,56581,8, Little India,Freehold,,,,Unknown,2022,5
,NORRIS ROAD,Shop House,4880000,2022-05-01,Land,90.4,53982,8, Little India,Freehold,,,,Unknown,2022,5
,CLUB STREET,Shop House,16500000,2022-05-01,Land,244.1,67595,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2022,5
,JALAN BESAR,Shop House,5250000,2022-05-01,Land,109.0,48165,8, Little India,Freehold,,,,Unknown,2022,5
,BEACH ROAD,Shop House,6200000,2022-05-01,Land,129.4,47913,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2022,5
,TANJONG PAGAR ROAD,Shop House,13250000,2022-05-01,Land,120.5,109959,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2022,5
,JALAN BESAR,Shop House,3510000,2022-05-01,Land,82.2,42701,8, Little India,Freehold,,,,Unknown,2022,5
,DESKER ROAD,Shop House,5200000,2022-05-01,Land,89.7,57971,8, Little India,Freehold,,,,Unknown,2022,5
,UPPER DICKSON ROAD,Shop House,3330000,2022-05-01,Land,59.7,55779,8, Little India,Leasehold,999.0,,,Unknown,2022,5
,JIAK CHUAN ROAD,Shop House,25500000,2022-04-01,Land,180.9,140962,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2022,4
,CANTONMENT ROAD,Shop House,11300000,2022-04-01,Land,127.7,88489,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2022,4
LIANG SEAH COURT,LIANG SEAH STREET,Shop House,1550000,2022-04-01,Strata,55.0,28182,7," Middle Road, Golden Mile",Leasehold,999.0,1,5,01-05,2022,4
,NORTH CANAL ROAD,Shop House,8450000,2022-04-01,Land,165.8,50965,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2022,4
,UPPER DICKSON ROAD,Shop House,3330000,2022-04-01,Land,59.2,56250,8, Little India,Leasehold,999.0,,,Unknown,2022,4
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,9400000,2022-04-01,Land,150.3,62542,19," Serangoon Garden, Hougang, Punggol",Leasehold,999.0,,,Unknown,2022,4
,SYED ALWI ROAD,Shop House,4550000,2022-04-01,Land,117.9,38592,8, Little India,Freehold,,,,Unknown,2022,4
,DALHOUSIE LANE,Shop House,2550000,2022-04-01,Land,89.3,28555,8, Little India,Leasehold,99.0,,,Unknown,2022,4
,NORRIS ROAD,Shop House,5900000,2022-04-01,Land,160.2,36829,8, Little India,Freehold,,,,Unknown,2022,4
,CUFF ROAD,Shop House,4850000,2022-04-01,Land,131.6,36854,8, Little India,Freehold,,,,Unknown,2022,4
,JALAN BESAR,Shop House,7688000,2022-04-01,Land,143.6,53538,8, Little India,Leasehold,978.0,,,Unknown,2022,4
,SERANGOON ROAD,Shop House,7600000,2022-04-01,Land,138.8,54755,8, Little India,Freehold,,,,Unknown,2022,4
,CHANDER ROAD,Shop House,2800000,2022-04-01,Land,52.5,53333,8, Little India,Freehold,,,,Unknown,2022,4
THOMSON RIDGE,UPPER THOMSON ROAD,Shop House,6500000,2022-04-01,Land,150.9,43075,20," Bishan, Ang Mo Kio",Freehold,,,,Unknown,2022,4
,SERANGOON ROAD,Shop House,8000000,2022-04-01,Land,87.4,91533,8, Little India,Freehold,,,,Unknown,2022,4
,JALAN BESAR,Shop House,8600000,2022-04-01,Land,147.0,58503,8, Little India,Leasehold,978.0,,,Unknown,2022,4
,ANN SIANG ROAD,Shop House,11600000,2022-04-01,Land,117.8,98472,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2022,4
,DUXTON ROAD,Shop House,8580000,2022-04-01,Land,106.3,80715,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2022,4
,HAMILTON ROAD,Shop House,5600000,2022-04-01,Land,183.6,30501,8, Little India,Freehold,,,,Unknown,2022,4
,SERANGOON ROAD,Shop House,7100000,2022-04-01,Land,82.4,86165,8, Little India,Freehold,,,,Unknown,2022,4
,ROWELL ROAD,Shop House,3425000,2022-04-01,Land,102.8,33317,8, Little India,Leasehold,199.0,,,Unknown,2022,4
,ARAB STREET,Shop House,10000000,2022-04-01,Land,106.7,93721,7," Middle Road, Golden Mile",Freehold,,,,Unknown,2022,4
,TANJONG PAGAR ROAD,Shop House,12600000,2022-03-01,Land,119.1,105793,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2022,3
,NORTH CANAL ROAD,Shop House,14380000,2022-03-01,Land,298.0,48255,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2022,3
,SERANGOON ROAD,Shop House,7100000,2022-03-01,Land,77.1,92088,8, Little India,Freehold,,,,Unknown,2022,3
,DESKER ROAD,Shop House,4600000,2022-03-01,Land,104.4,44061,8, Little India,Freehold,,,,Unknown,2022,3
,UPPER DICKSON ROAD,Shop House,5550000,2022-03-01,Land,126.6,43839,8, Little India,Leasehold,999.0,,,Unknown,2022,3
,DUXTON HILL,Shop House,12680000,2022-03-01,Land,115.6,109689,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2022,3
FRANKEL ESTATE,SIGLAP DRIVE,Shop House,3850000,2022-03-01,Land,174.4,22076,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2022,3
,JIAK CHUAN ROAD,Shop House,23200000,2022-03-01,Land,170.1,136390,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2022,3
,LEMBU ROAD,Shop House,5258000,2022-03-01,Land,105.5,49839,8, Little India,Freehold,,,,Unknown,2022,3
,SYED ALWI ROAD,Shop House,2990000,2022-03-01,Land,120.9,24731,8, Little India,Leasehold,99.0,,,Unknown,2022,3
,GEYLANG ROAD,Shop House,4450000,2022-03-01,Land,118.3,37616,14," Geylang, Eunos",Freehold,,,,Unknown,2022,3
,OUTRAM ROAD,Shop House,5715000,2022-03-01,Strata,118.0,48432,3," Queenstown, Tiong Bahru",Freehold,,,,Unknown,2022,3
,SYED ALWI ROAD,Shop House,7300000,2022-03-01,Land,185.4,39374,8, Little India,Freehold,,,,Unknown,2022,3
,TAI THONG CRESCENT,Shop House,6000000,2022-03-01,Land,164.3,36519,13," Macpherson, Braddell",Freehold,,,,Unknown,2022,3
,HAJI LANE,Shop House,13500000,2022-03-01,Land,116.1,116279,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2022,3
,CHANGI ROAD,Shop House,3300000,2022-03-01,Land,127.4,25903,14," Geylang, Eunos",Freehold,,,,Unknown,2022,3
HOTEL CLOVER,JALAN SULTAN,Shop House,74800000,2022-03-01,Land,1412.2,52967,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2022,3
,GEYLANG ROAD,Shop House,25000000,2022-03-01,Land,495.7,50434,14," Geylang, Eunos",Freehold,,,,Unknown,2022,3
,JALAN SULTAN,Shop House,3100000,2022-03-01,Land,89.9,34483,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2022,3
,JALAN SULTAN,Shop House,2800000,2022-03-01,Land,87.2,32110,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2022,3
,JALAN SULTAN,Shop House,2900000,2022-03-01,Land,89.6,32366,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2022,3
,WOODSVILLE CLOSE,Shop House,2916000,2022-02-01,Land,167.8,17378,13," Macpherson, Braddell",Freehold,,,,Unknown,2022,2
,NORRIS ROAD,Shop House,5500000,2022-02-01,Land,183.4,29989,8, Little India,Freehold,,,,Unknown,2022,2
,JALAN BESAR,Shop House,5900000,2022-02-01,Land,148.6,39704,8, Little India,Leasehold,999.0,,,Unknown,2022,2
,YIO CHU KANG ROAD,Shop House,2800000,2022-02-01,Land,173.4,16148,19," Serangoon Garden, Hougang, Punggol",Freehold,,,,Unknown,2022,2
,NIVEN ROAD,Shop House,2420000,2022-02-01,Land,53.9,44898,9," Orchard, Cairnhill, River Valley",Freehold,,,,Unknown,2022,2
,NEIL ROAD,Shop House,8380000,2022-02-01,Land,119.9,69892,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2022,2
,JALAN KLAPA,Shop House,12188000,2022-02-01,Land,139.4,87432,7," Middle Road, Golden Mile",Freehold,,,,Unknown,2022,2
,SERANGOON ROAD,Shop House,6200000,2022-02-01,Land,86.8,71429,8, Little India,Freehold,,,,Unknown,2022,2
,NORRIS ROAD,Shop House,4180000,2022-02-01,Land,150.1,27848,8, Little India,Freehold,,,,Unknown,2022,2
,GUILLEMARD ROAD,Shop House,3100000,2022-02-01,Land,106.8,29026,14," Geylang, Eunos",Freehold,,,,Unknown,2022,2
,SAM LEONG ROAD,Shop House,6500000,2022-02-01,Land,125.4,51834,8, Little India,Leasehold,999.0,,,Unknown,2022,2
,BUFFALO ROAD,Shop House,4300000,2022-02-01,Land,71.8,59889,8, Little India,Leasehold,99.0,,,Unknown,2022,2
,UPPER PAYA LEBAR ROAD,Shop House,2300000,2022-02-01,Land,229.3,10031,19," Serangoon Garden, Hougang, Punggol",Freehold,,,,Unknown,2022,2
,TANJONG PAGAR ROAD,Shop House,12200000,2022-01-01,Land,146.4,83333,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2022,1
,VEERASAMY ROAD,Shop House,5100000,2022-01-01,Land,181.5,28099,8, Little India,Freehold,,,,Unknown,2022,1
,UPPER SERANGOON ROAD,Shop House,2050000,2022-01-01,Land,166.9,12283,19," Serangoon Garden, Hougang, Punggol",Freehold,,,,Unknown,2022,1
HOTEL KAI,PURVIS STREET,Shop House,28000000,2022-01-01,Land,187.4,149413,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2022,1
CLOVER PARK,CLOVER WAY,Shop House,4800000,2022-01-01,Land,164.4,29197,20," Bishan, Ang Mo Kio",Freehold,,,,Unknown,2022,1
,JOO CHIAT ROAD,Shop House,3680000,2022-01-01,Strata,169.0,21775,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2022,1
,NORTH BRIDGE ROAD,Shop House,2480000,2022-01-01,Land,82.6,30024,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2022,1
,CIRCULAR ROAD,Shop House,30668300,2022-01-01,Land,335.5,91411,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2022,1
,BOAT QUAY,Shop House,17200000,2022-01-01,Land,100.9,170466,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2022,1
,ANN SIANG ROAD,Shop House,15500000,2022-01-01,Land,117.0,132479,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2022,1
,SIMS AVENUE,Shop House,2860000,2022-01-01,Land,141.2,20255,14," Geylang, Eunos",Freehold,,,,Unknown,2022,1
,RUBY LANE,Shop House,6888000,2022-01-01,Land,174.1,39563,12," Balestier, Toa Payoh, Serangoon",Freehold,,,,Unknown,2022,1
,UPPER DICKSON ROAD,Shop House,5000000,2022-01-01,Land,126.6,39494,8, Little India,Leasehold,999.0,,,Unknown,2022,1
,UPPER DICKSON ROAD,Shop House,5000000,2022-01-01,Land,128.7,38850,8, Little India,Leasehold,999.0,,,Unknown,2022,1
,NORTH BRIDGE ROAD,Shop House,5300000,2022-01-01,Land,78.2,67775,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2022,1
,ROWELL ROAD,Shop House,3380000,2022-01-01,Land,97.2,34774,8, Little India,Freehold,,,,Unknown,2022,1
,KEONG SAIK ROAD,Shop House,18500000,2021-12-01,Land,141.4,130835,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2021,12
,GEYLANG ROAD,Shop House,3800000,2021-12-01,Land,139.7,27201,14," Geylang, Eunos",Freehold,,,,Unknown,2021,12
,DUNLOP STREET,Shop House,3980000,2021-12-01,Land,87.8,45330,8, Little India,Freehold,,,,Unknown,2021,12
,HAJI LANE,Shop House,5000000,2021-12-01,Land,51.9,96339,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2021,12
,UPPER DICKSON ROAD,Shop House,5500000,2021-12-01,Land,131.6,41793,8, Little India,Leasehold,999.0,,,Unknown,2021,12
,TEMPLE STREET,Shop House,13800000,2021-12-01,Land,136.9,100804,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2021,12
TIONG BAHRU ESTATE,ENG HOON STREET,Shop House,5500000,2021-12-01,Land,82.4,66748,3," Queenstown, Tiong Bahru",Freehold,,,,Unknown,2021,12
,NORTH BRIDGE ROAD,Shop House,4500000,2021-12-01,Land,89.4,50336,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2021,12
,TANJONG KATONG ROAD,Shop House,4200000,2021-12-01,Land,128.8,32609,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,12
,JOO CHIAT PLACE,Shop House,31800000,2021-12-01,Land,1300.3,24456,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,12
,DUKE'S ROAD\BUKIT TIMAH ROAD,Shop House,53900000,2021-12-01,Strata,2556.9,21080,10," Ardmore, Bukit Timah, Holland Road, Tanglin",Freehold,,,,Unknown,2021,12
,DESKER ROAD,Shop House,4000000,2021-12-01,Land,110.0,36364,8, Little India,Freehold,,,,Unknown,2021,12
,EAST COAST ROAD,Shop House,3480000,2021-12-01,Land,125.8,27663,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,12
,TRAS STREET,Shop House,11100000,2021-12-01,Land,120.6,92040,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,12
FRANKEL ESTATE,SIGLAP DRIVE,Shop House,3200000,2021-12-01,Land,171.0,18713,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,12
,PERAK ROAD,Shop House,4650000,2021-12-01,Land,130.3,35687,8, Little India,Leasehold,99.0,,,Unknown,2021,12
,DESKER ROAD,Shop House,3800000,2021-12-01,Land,98.1,38736,8, Little India,Freehold,,,,Unknown,2021,12
,DESKER ROAD,Shop House,3800000,2021-12-01,Land,100.1,37962,8, Little India,Freehold,,,,Unknown,2021,12
,KAMPONG BAHRU ROAD,Shop House,4900000,2021-12-01,Land,90.1,54384,3," Queenstown, Tiong Bahru",Freehold,,,,Unknown,2021,12
,NORRIS ROAD,Shop House,3500000,2021-12-01,Land,86.8,40323,8, Little India,Freehold,,,,Unknown,2021,12
,RANGOON ROAD,Shop House,4000000,2021-11-01,Strata,136.0,29412,8, Little India,Freehold,,,,Unknown,2021,11
,SEMBAWANG ROAD,Shop House,3600000,2021-11-01,Land,116.1,31008,27," Yishun, Sembawang",Leasehold,999.0,,,Unknown,2021,11
,TANJONG KATONG ROAD,Shop House,18200000,2021-11-01,Land,480.8,37854,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,11
PORCELAIN HOTEL,MOSQUE STREET,Shop House,36471774,2021-11-01,Land,381.9,95501,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2021,11
PORCELAIN HOTEL,MOSQUE STREET,Shop House,53528225,2021-11-01,Land,560.5,95501,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2021,11
,CLUB STREET,Shop House,26038000,2021-11-01,Land,209.0,124584,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2021,11
,SIMS AVENUE,Shop House,2320000,2021-11-01,Land,129.1,17971,14," Geylang, Eunos",Freehold,,,,Unknown,2021,11
,CIRCULAR ROAD,Shop House,16180000,2021-11-01,Land,116.4,139003,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2021,11
,NEIL ROAD,Shop House,7300000,2021-11-01,Land,137.7,53014,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,11
,LEMBU ROAD,Shop House,14000000,2021-11-01,Land,237.5,58947,8, Little India,Freehold,,,,Unknown,2021,11
,VEERASAMY ROAD,Shop House,5810000,2021-11-01,Land,181.2,32064,8, Little India,Freehold,,,,Unknown,2021,11
,BLAIR ROAD,Shop House,4800000,2021-11-01,Land,131.1,36613,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2021,11
,TYRWHITT ROAD,Shop House,6350000,2021-11-01,Land,145.3,43703,8, Little India,Freehold,,,,Unknown,2021,11
,MAUDE ROAD,Shop House,6300000,2021-11-01,Land,131.3,47982,8, Little India,Freehold,,,,Unknown,2021,11
,SIMS AVENUE,Shop House,2628633,2021-11-01,Land,138.6,18966,14," Geylang, Eunos",Freehold,,,,Unknown,2021,11
,JOO CHIAT ROAD,Shop House,31500000,2021-10-01,Land,560.3,56220,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,10
,TANJONG PAGAR ROAD,Shop House,4880000,2021-10-01,Land,77.9,62644,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,10
,KEONG SAIK ROAD,Shop House,25009999,2021-10-01,Land,256.6,97467,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2021,10
,TEO HONG ROAD,Shop House,15200000,2021-10-01,Land,155.3,97875,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2021,10
,SERANGOON ROAD,Shop House,4750000,2021-10-01,Land,153.2,31005,8, Little India,Freehold,,,,Unknown,2021,10
,DESKER ROAD,Shop House,3130000,2021-10-01,Land,109.0,28716,8, Little India,Freehold,,,,Unknown,2021,10
,SYED ALWI ROAD,Shop House,2750000,2021-10-01,Land,108.4,25369,8, Little India,Leasehold,99.0,,,Unknown,2021,10
,SERANGOON ROAD,Shop House,5500000,2021-10-01,Land,92.3,59588,8, Little India,Freehold,,,,Unknown,2021,10
,TANJONG PAGAR ROAD,Shop House,11300000,2021-10-01,Land,119.9,94245,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,10
,CIRCULAR ROAD,Shop House,13000000,2021-10-01,Land,100.2,129741,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2021,10
,DALHOUSIE LANE,Shop House,2500000,2021-10-01,Land,82.8,30193,8, Little India,Leasehold,99.0,,,Unknown,2021,10
,JALAN BESAR,Shop House,7090000,2021-10-01,Land,153.2,46279,8, Little India,Leasehold,999.0,,,Unknown,2021,10
,JALAN BESAR,Shop House,7090000,2021-10-01,Land,153.5,46189,8, Little India,Leasehold,999.0,,,Unknown,2021,10
,BUSSORAH STREET,Shop House,2800000,2021-10-01,Land,70.2,39886,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2021,10
,ARAB STREET,Shop House,4700000,2021-10-01,Land,68.9,68215,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2021,10
,CLIVE STREET,Shop House,3300000,2021-10-01,Land,65.7,50228,8, Little India,Freehold,,,,Unknown,2021,10
,CIRCULAR ROAD,Shop House,10700000,2021-10-01,Land,88.3,121178,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2021,10
,BAGHDAD STREET,Shop House,6880000,2021-10-01,Land,79.1,86979,7," Middle Road, Golden Mile",Leasehold,99.0,,,Unknown,2021,10
,JOO CHIAT PLACE,Shop House,3100000,2021-10-01,Land,138.8,22334,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,10
,CIRCULAR ROAD,Shop House,9500000,2021-10-01,Land,96.1,98855,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2021,10
,DUNLOP STREET,Shop House,3100000,2021-10-01,Land,75.9,40843,8, Little India,Leasehold,999.0,,,Unknown,2021,10
,PAGODA STREET,Shop House,13300000,2021-10-01,Land,114.6,116056,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,,,Unknown,2021,10
,UPPER DICKSON ROAD,Shop House,3675000,2021-10-01,Land,77.7,47297,8, Little India,Freehold,,,,Unknown,2021,10
,DUXTON HILL,Shop House,7500000,2021-10-01,Land,125.8,59618,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,10
,KELANTAN ROAD,Shop House,3650000,2021-10-01,Land,102.2,35714,8, Little India,Freehold,,,,Unknown,2021,10
,TELOK AYER STREET,Shop House,16800000,2021-09-01,Land,134.9,124537,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,,,Unknown,2021,9
,TANJONG PAGAR ROAD,Shop House,10000000,2021-09-01,Land,133.9,74683,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,9
,TELOK AYER STREET,Shop House,8550000,2021-09-01,Land,71.5,119580,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,,,Unknown,2021,9
,CRAIG ROAD,Shop House,8200000,2021-09-01,Land,149.0,55034,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,9
,SERANGOON ROAD,Shop House,4450000,2021-09-01,Land,152.2,29238,8, Little India,Freehold,,,,Unknown,2021,9
,DALHOUSIE LANE,Shop House,4225000,2021-09-01,Land,168.5,25074,8, Little India,Leasehold,99.0,,,Unknown,2021,9
,STANLEY STREET,Shop House,15500000,2021-09-01,Land,138.5,111913,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,,,Unknown,2021,9
,GEYLANG ROAD,Shop House,4500000,2021-09-01,Land,139.8,32189,14," Geylang, Eunos",Freehold,,,,Unknown,2021,9
,TRAS STREET,Shop House,11768888,2021-09-01,Land,151.1,77888,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,9
,UPPER DICKSON ROAD,Shop House,2950000,2021-09-01,Land,77.7,37967,8, Little India,Freehold,,,,Unknown,2021,9
,ARAB STREET/HAJI LANE,Shop House,6700000,2021-09-01,Land,100.1,66933,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2021,9
,DICKSON ROAD,Shop House,4500000,2021-09-01,Land,114.5,39301,8, Little India,Freehold,,,,Unknown,2021,9
,EAST COAST ROAD,Shop House,6450000,2021-09-01,Land,173.0,37283,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,9
,CHANGI ROAD,Shop House,3590000,2021-09-01,Land,144.7,24810,14," Geylang, Eunos",Freehold,,,,Unknown,2021,9
,DICKSON ROAD,Shop House,4550000,2021-09-01,Land,169.7,26812,8, Little India,Leasehold,999.0,,,Unknown,2021,9
,BUKIT TIMAH ROAD,Shop House,5000000,2021-09-01,Land,132.6,37707,9," Orchard, Cairnhill, River Valley",Freehold,,,,Unknown,2021,9
ATRIUM RESIDENCES,GEYLANG ROAD,Shop House,1243000,2021-09-01,Strata,127.0,9787,14," Geylang, Eunos",Freehold,,,,Unknown,2021,9
,GEYLANG ROAD,Shop House,3600000,2021-09-01,Land,137.5,26182,14," Geylang, Eunos",Freehold,,,,Unknown,2021,9
,DUXTON HILL,Shop House,12300000,2021-09-01,Land,123.5,99595,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2021,9
,UPPER DICKSON ROAD,Shop House,2550000,2021-09-01,Land,58.6,43515,8, Little India,Unknown,,,,Unknown,2021,9
,NEW BRIDGE ROAD,Shop House,13635000,2021-09-01,Land,118.5,115063,2," Anson, Tanjong Pagar",Freehold,,,,Unknown,2021,9
,TYRWHITT ROAD,Shop House,7700000,2021-09-01,Land,153.6,50130,8, Little India,Freehold,,,,Unknown,2021,9
,GEYLANG ROAD,Shop House,8630000,2021-09-01,Land,277.6,31088,14," Geylang, Eunos",Leasehold,99.0,,,Unknown,2021,9
,GEYLANG ROAD,Shop House,10100000,2021-09-01,Land,184.7,54683,14," Geylang, Eunos",Freehold,,,,Unknown,2021,9
,JALAN PISANG,Shop House,3800000,2021-08-01,Land,75.7,50198,7," Middle Road, Golden Mile",Freehold,,,,Unknown,2021,8
,TYRWHITT ROAD,Shop House,7500000,2021-08-01,Land,304.7,24614,8, Little India,Freehold,,,,Unknown,2021,8
,EAST COAST ROAD,Shop House,8500000,2021-08-01,Land,166.8,50959,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,8
,ROWELL ROAD,Shop House,3200000,2021-08-01,Land,102.5,31220,8, Little India,Freehold,,,,Unknown,2021,8
,SERANGOON ROAD,Shop House,6700000,2021-08-01,Land,103.1,64985,8, Little India,Freehold,,,,Unknown,2021,8
,SOPHIA ROAD,Shop House,3400000,2021-08-01,Land,77.3,43984,9," Orchard, Cairnhill, River Valley",Freehold,,,,Unknown,2021,8
,JOO CHIAT ROAD,Shop House,7100000,2021-08-01,Land,142.4,49860,15," Katong, Joo Chiat, Amber Road",Freehold,,,,Unknown,2021,8
,GEYLANG ROAD,Shop House,2188888,2021-08-01,Strata,99.0,22110,14," Geylang, Eunos",Freehold,,,,Unknown,2021,8
,JALAN MASJID,Shop House,5080000,2021-08-01,Land,170.6,29777,14," Geylang, Eunos",Freehold,,,,Unknown,2021,8
,SERANGOON ROAD,Shop House,6800000,2021-08-01,Land,93.8,72495,8, Little India,Leasehold,99.0,,,Unknown,2021,8
